case_id,model,condition,total_motifs,discriminating_count,supporting_count,arguing_count,discriminating_ratio,supporting_ratio,expert_reasoning_index
NEJM_CPC_01_2026,openai/gpt-5.4,baseline,101,3,74,19,0.0297029702970297,0.7326732673267327,0.21782178217821782
NEJM_CPC_01_2026,openai/gpt-5.4,adversarial,73,2,36,15,0.0273972602739726,0.4931506849315068,0.2328767123287671
NEJM_CPC_01_2026,openai/gpt-5.4,structured,95,4,57,20,0.042105263157894736,0.6,0.25263157894736843
NEJM_CPC_01_2026,openai/gpt-5.2,baseline,53,1,35,14,0.018867924528301886,0.660377358490566,0.2830188679245283
NEJM_CPC_01_2026,openai/gpt-5.2,adversarial,71,3,48,3,0.04225352112676056,0.676056338028169,0.08450704225352113
NEJM_CPC_01_2026,anthropic/claude-sonnet-4.5,baseline,50,0,35,15,0.0,0.7,0.3
NEJM_CPC_01_2026,anthropic/claude-sonnet-4.5,adversarial,57,1,35,10,0.017543859649122806,0.6140350877192983,0.19298245614035087
NEJM_CPC_01_2026,anthropic/claude-sonnet-4.5,structured,59,2,35,6,0.03389830508474576,0.5932203389830508,0.13559322033898305
NEJM_CPC_01_2026,anthropic/claude-opus-4.5,baseline,52,2,38,7,0.038461538461538464,0.7307692307692307,0.17307692307692307
NEJM_CPC_01_2026,anthropic/claude-opus-4.5,adversarial,62,2,35,5,0.03225806451612903,0.5645161290322581,0.11290322580645161
NEJM_CPC_01_2026,anthropic/claude-opus-4.5,structured,61,1,41,9,0.01639344262295082,0.6721311475409836,0.16393442622950818
NEJM_CPC_01_2026,google/gemini-3-pro-preview,baseline,62,0,28,18,0.0,0.45161290322580644,0.2903225806451613
NEJM_CPC_01_2026,google/gemini-3-pro-preview,adversarial,46,0,29,10,0.0,0.6304347826086957,0.21739130434782608
NEJM_CPC_01_2026,google/gemini-3-pro-preview,structured,70,6,47,7,0.08571428571428572,0.6714285714285714,0.18571428571428572
NEJM_CPC_24_2025,openai/gpt-5.4,baseline,95,2,53,34,0.021052631578947368,0.5578947368421052,0.37894736842105264
NEJM_CPC_24_2025,openai/gpt-5.4,adversarial,60,1,30,16,0.016666666666666666,0.5,0.2833333333333333
NEJM_CPC_24_2025,openai/gpt-5.4,structured,61,1,32,11,0.01639344262295082,0.5245901639344263,0.19672131147540983
NEJM_CPC_24_2025,openai/gpt-5.2,baseline,41,2,26,10,0.04878048780487805,0.6341463414634146,0.2926829268292683
NEJM_CPC_24_2025,openai/gpt-5.2,adversarial,57,0,27,12,0.0,0.47368421052631576,0.21052631578947367
NEJM_CPC_24_2025,openai/gpt-5.2,structured,56,2,27,16,0.03571428571428571,0.48214285714285715,0.32142857142857145
NEJM_CPC_24_2025,anthropic/claude-sonnet-4.5,baseline,53,1,33,17,0.018867924528301886,0.6226415094339622,0.33962264150943394
NEJM_CPC_24_2025,anthropic/claude-sonnet-4.5,adversarial,53,2,24,14,0.03773584905660377,0.4528301886792453,0.3018867924528302
NEJM_CPC_24_2025,anthropic/claude-sonnet-4.5,structured,78,1,39,16,0.01282051282051282,0.5,0.21794871794871795
NEJM_CPC_24_2025,anthropic/claude-opus-4.5,baseline,54,1,45,7,0.018518518518518517,0.8333333333333334,0.14814814814814814
NEJM_CPC_24_2025,anthropic/claude-opus-4.5,adversarial,64,5,38,11,0.078125,0.59375,0.25
NEJM_CPC_24_2025,anthropic/claude-opus-4.5,structured,64,1,34,23,0.015625,0.53125,0.375
NEJM_CPC_24_2025,google/gemini-3-pro-preview,baseline,35,0,17,14,0.0,0.4857142857142857,0.4
NEJM_CPC_24_2025,google/gemini-3-pro-preview,adversarial,58,0,32,11,0.0,0.5517241379310345,0.1896551724137931
